X,Timestamp,ID,GENDER,AGE,DATE_OF_BIRTH,0TIO0LITY,COUNTRY_OF_RESIDENCE,ENGLISH_FIRST_LENGUAGE,IF_NOT_ENGLISH_SPECIFY,HIGHEST_LEVEL_EDUCATION,OCCUPATION,DOMI0NT_HAND,DO_YOU_DRIVE,CURRENTLY_LEARNING_DRIVE,CURRENTLY_HOLD_LEARNING_DRIVER_PERMIT,CURRENTLY_HOLD_FULL_DRIVING_LICENSE,RECEIVE_FULL_DRIVING_LICENSE,AGE_STARTED_DRIVING,AVERAGE_KM_MILEAGE_PER_YEAR,HAVE_PE0LTY_POINTS,PE0LTY_POINTS_FOR_WHAT,COLLISIONS_LAST_TWO_YEARS,HOW_MANY_COLLISIONS_LAST_TWO_YEARS,HOW_SERIOUS_COLLISIONS,FOR_HOW_MANY_WERE_CULPABLE,EVER_SMOKED,SMOKE_CURRENTLY,HOW_MANY_YEARS_SMOKING,HOW_MANY_CIGARETTES_PER_WEEK,EVER_DRANK_ALCOHOL,DRINK_CURRENTLY,HOW_MANY_YEARS_DRINKING,HOW_MUCH_UNITS_OF_ALCOHOL_PER_WEEK,PREVIOUSLY_DIAGNOSED_HEALTH_CONDITION_REQUIRING_SIGNIFICANT_LIFESTYLE_CHANGES.,CONSIDER_YOURSELF_RISKTAKER,DEAL_WITH_RISK_AND_UNCERTANTLY_DAILY_BASIS,Admitting.that.your.tastes.are.different.from.those.of.a.friend,Going.camping.in.the.wilderness,Betting.a.day.s.income.at.the.horse.races,Investing.10..of.your.annual.income.in.a.moderate.growth.mutual.fund,Drinking.heavily.at.a.social.function,Taking.some.questio0ble.deductions.on.your.income.tax.return,Disagreeing.with.an.authority.figure.on.a.major.issue,Betting.a.day.s.income.at.a.high.stake.poker.game,Having.an.affair.with.a.married.man.woman,Passing.off.someone.else.s.work.as.your.own,Going.down.a.ski.run.that.is.beyond.your.ability,Investing.5..of.your.annual.income.in.a.very.speculative.stock,Going.whitewater.rafting.at.hight.water.in.the.spring,Betting.a.day.s.income.on.the.outcome.of.a.sporting.event,Engaging.in.unprotected.sex,Revealing.a.friend.s.secret.to.someone.else,Driving.a.car.without.wearing.a.seat.belt,Investing.10..of.your.annual.income.in.a.new.business.venture,Taking.a.skydiving.class,Riding.a.motorcycle.without.a.helmet,Choosing.a.career.that.you.truly.enjoy.over.a.more.secure.one,Speaking.your.mind.about.an.unpopular.issue.in.a.meeting.at.work,Sunbathing.without.sunscreen,Bungee.jumping.off.a.tall.bridge,Piloting.a.small.plane,Walking.home.alone.at.night.in.an.unsafe.area.of.town,Moving.to.a.city.far.away.from.your.extended.family,Starting.a.new.career.in.your.mid.thirties,Leaving.your.young.children.alone.at.home.while.running.an.errand,Not.returning.a.wallet.you.found.that.contains....200,I.plan.tasks.carefully,I.do.things.without.thinking,I.make.up.my.mind.quickly,I.am.happy.go.lucky,I.don.t..pay.attention.,I.have..racing..thoughts,I.plan.trips.well.ahead.of.time,I.am.self.controlled,I.concentrate.easily,I.save.regularly,I..squirm..at.plays.or.lectures,I.am.a.careful.thinker,I.plan.for.job.security,I.say.things.without.thinking,I.like.to.think.about.complex.problems,I.change.jobs,I.act..on.impulse.,I.get.easily.bored.when.solving.thought.problems,I.act.on.the.spur.of.the.moment,I.am.a.steady.thinker,I.change.residences,I.buy.things.on.impulse,I.can.only.think.about.one.thing.at.a.time,I.change.hobbies,I.spend.or.charge.more.than.I.earn,I.often.have.extraneous.thoughts.when.thinking,I.am.more.interested.in.the.present.than.the.future,I.am.restless.at.the.theater.or.lectures,I.like.puzzles,I.am.future.oriented,BIS_Sum,BIS_Attention,BIS_Cog_Instability,BIS_Motor,BIS_Perseverance,BIS_self_control,BIS_Cog_Complexity,DOS_Ethical,DOS_Fin_Investment,DOS_Fin_Gambling,DOS_HealthSafety,DOS_Recreatio0l,DOS_Social,AGE_Precent_Smoking,AGE_Precent_Drinking
334,06/05/2013 14:11,64045,Male,54,4/19/59,Irish,Ireland,Yes,0,Third Level (Cert/Diploma/General degree),company director,Right handed,Yes,No,No,Yes,1977,10,10000,Yes,speeding,No,0,0,0,No,No,0,0,Yes,Yes,30,1,No,Yes,Yes,7,1,1,7,1,1,7,1,1,1,1,6,1,1,1,1,1,7,1,1,7,7,1,1,1,6,7,7,6,1,4,1,4,4,1,3,4,4,4,4,2,4,4,1,4,2,4,1,3,4,1,0,4,1,1,4,3,2,4,4,0,13,8,0,11,21,16,11,20,3,11,6,42,54,24
335,06/05/2013 14:20,64049,Male,40,6/1/0973,Irish,UK,Yes,0,Third Level (Honours degree),,Right handed,No,No,Yes,No,0,0,0,0,0,0,0,0,0,Yes,Yes,10,35,Yes,Yes,20,5,No,No,No,3,6,6,6,5,3,5,3,3,3,5,4,4,2,4,4,2,5,5,2,5,5,2,5,2,5,5,5,2,2,3,2,2,3,2,2,3,3,2,1,3,3,3,2,3,1,2,2,2,2,2,0,3,2,3,3,3,2,2,2,0,11,7,0,8,17,11,17,15,11,20,27,28,30,20
336,06/05/2013 14:54,64050,Male,37,02/11/1976,British,UK,Yes,0,Third Level (Cert/Diploma/General degree),Accountant,Right handed,Yes,No,No,Yes,1994,18,10000,No,0,No,0,0,0,Yes,Yes,12,140,Yes,Yes,20 years,40,No,Yes,Yes,7,0,0,2,6,5,7,7,2,1,7,2,1,7,6,2,5,6,5,3,6,6,6,6,3,6,6,7,1,3,1,3,2,2,3,3,1,2,3,1,2,1,1,3,4,3,3,1,2,1,4,0,1,3,3,1,3,2,4,2,0,11,7,0,10,9,13,14,10,0,32,0,39,25,0
337,06/05/2013 15:06,63841,Female,24,2/27/89,Czech,Ireland,No,Czech,Fourth Level,student,Right handed,Yes,No,0,Yes,0,18,0,0,0,0,0,0,0,No,No,0,0,Yes,Yes,0,0,Yes,No,No,5,3,1,6,1,2,3,7,2,2,2,2,2,7,7,2,3,5,7,2,2,2,4,7,7,4,7,6,4,7,3,2,2,2,2,1,3,3,4,3,2,3,3,2,4,2,1,2,1,4,4,0,3,2,1,2,1,2,4,3,0,14,5,0,12,17,14,19,13,15,21,28,25,24,24
338,06/06/2013 11:58,64048,Male,53,05/09/1966,Irish,Ireland,Yes,0,Fourth Level,Banker,Right handed,Yes,No,No,Yes,1980,17,6000,No,0,0,0,0,0,No,No,0,0,Yes,Yes,35,8,No,Yes,No,7,6,1,6,5,1,5,1,1,1,5,6,5,1,1,2,1,5,6,1,4,6,5,2,1,2,6,5,6,1,3,3,2,2,2,3,3,4,3,3,2,3,3,2,3,2,3,2,2,2,2,0,3,2,4,2,2,3,3,2,0,12,7,0,9,18,13,12,17,3,15,25,33,53,18
339,06/06/2013 12:01,63842,Female,23,8/31/89,Irish,England,0,0,Third Level (Honours degree),Teacher,Right handed,Yes,No,No,Yes,2009,18,0,No,0,No,0,0,0,Yes,No,0,0,Yes,Yes,7,6,No,Yes,Yes,5,1,2,6,3,1,2,5,1,2,1,3,1,2,2,4,5,5,2,1,6,5,3,6,5,7,7,6,2,1,3,3,3,2,3,4,2,4,3,4,4,3,4,4,4,1,3,1,3,4,2,0,2,4,1,3,1,1,4,4,0,15,11,0,9,20,14,11,14,9,21,16,31,23,16
340,06/06/2013 12:07,64047,Male,28,01/05/1985,Irish,Ireland,Yes,0,Third Level (Cert/Diploma/General degree),insurance underwriter,Left handed,Yes,Yes,No,Yes,2007,21,10000,No,0,No,0,0,0,Yes,Yes,7,100,Yes,Yes,10,5,No,No,No,7,6,2,5,5,4,5,2,3,1,6,5,6,5,5,3,6,6,5,5,7,7,5,3,6,5,6,7,3,2,1,3,2,4,1,3,1,2,2,3,3,2,2,3,1,2,3,1,2,3,2,0,2,2,2,3,2,3,4,1,0,12,8,0,7,11,11,16,16,9,31,32,39,21,18
341,06/06/2013 12:18,63840,Male,26,10/26/86,Finnish,Ireland,No,Finland,Third Level (Honours degree),Sales Rep (IT),Right handed,Yes,No,No,Yes,2007,18,1500,Yes,speeding,No,0,0,0,No,No,0,0,Yes,Yes,8.5,12,No,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,17.5
342,06/06/2013 12:23,64046,Male,30,8/29/82,Irish,Ireland,Yes,0,Secondary (Leaving Cert),motor,Right handed,Yes,No,No,Yes,2007,17,10000,No,0,0,0,0,0,Yes,Yes,10,70,Yes,Yes,12,5,No,No,No,6,1,1,1,3,1,5,1,3,1,4,1,4,1,5,1,3,1,4,1,6,5,1,4,1,3,3,5,1,4,2,3,4,3,2,4,1,2,3,2,2,2,4,4,2,1,2,1,3,2,1,0,1,3,4,2,3,3,4,2,0,12,9,0,5,15,12,11,3,3,16,18,30,20,18
343,06/06/2013 12:34,64044,Female,23,07/11/1989,Irish,Ireland,Yes,0,Third Level (Honours degree),unemployed,Right handed,Yes,Yes,Yes,No,0,22,100000,No,0,0,0,0,0,Yes,No,0,0,Yes,Yes,6,6,No,No,No,7,5,1,1,6,4,7,1,3,2,2,1,1,1,3,5,1,1,3,1,4,6,2,2,1,6,6,5,2,2,4,2,2,3,2,4,4,4,4,3,2,4,4,3,4,2,3,1,2,4,1,0,2,4,1,3,2,2,4,4,0,14,11,0,9,23,14,18,3,3,19,14,35,23,17
344,06/06/2013 12:57,63839,Female,39,5/29/74,Irish,Ireland,Yes,0,Third Level (Honours degree),Ma0ger,Left handed,Yes,No,No,Yes,1993,18,20000,No,0,No,0,0,0,No,No,0,0,Yes,Yes,20,0,No,Yes,No,6,7,1,2,5,5,6,1,3,1,1,2,5,1,5,1,1,5,6,1,7,0,5,2,1,6,7,7,1,2,3,3,3,3,2,3,1,3,3,2,3,2,2,3,1,3,3,2,3,3,4,0,2,2,1,2,3,2,3,1,0,13,7,0,10,14,11,13,9,3,23,22,0,39,19
345,06/06/2013 13:55,64043,Male,32,8/27/80,Irish,Ireland,Yes,0,Fourth Level,research,Right handed,Yes,Yes,Yes,No,0,31,50,0,0,0,0,0,0,Yes,No,0,0,Yes,No,10,10,Yes,Yes,No,6,6,3,7,1,3,6,3,1,2,3,6,4,3,2,1,1,6,4,3,2,1,1,6,5,1,7,6,1,1,4,3,3,2,3,4,4,2,2,4,3,3,2,2,4,2,2,1,2,3,1,0,2,1,1,3,2,1,3,3,0,12,8,0,8,17,14,9,19,9,9,28,28,32,22
346,06/06/2013 14:02,64042,Female,20,12/06/1992,Irish,Ireland,Yes,0,Secondary (Leaving Cert),student,Right handed,Yes,0,0,Yes,2012,18,15000,No,0,No,0,0,0,No,No,0,0,Yes,Yes,3,8,0,0,0,7,2,1,1,6,2,2,1,1,6,6,1,7,1,7,7,1,1,7,1,7,7,7,7,7,7,7,7,7,1,4,2,4,4,1,1,4,4,4,4,4,4,4,3,2,4,2,4,1,1,1,0,2,4,1,1,1,4,4,4,0,14,6,0,11,23,15,24,3,3,29,36,37,20,17
347,06/06/2013 15:55,63940,Female,21,11/30/91,Ca0dian,Ireland,Yes,0,Third Level (Honours degree),Student,Left handed,No,No,No,No,0,0,0,No,0,No,0,0,0,Yes,Yes,7.5,50,Yes,Yes,7.5,7,No,Yes,Yes,6,1,1,6,4,2,5,4,1,1,5,5,1,4,5,5,4,6,3,4,5,5,7,1,5,3,7,7,2,3,3,2,3,2,1,2,4,3,4,3,4,3,2,2,4,1,3,2,2,3,4,0,1,3,1,3,3,2,4,4,0,14,8,0,10,17,16,14,17,9,27,16,35,13.5,13.5
348,06/06/2013 16:14,63939,Female,22,02/09/1992,American,Ireland,Yes,0,Third Level (Honours degree),Freelancer,Right handed,Yes,No,No,Yes,2007,15,0,No,0,No,0,0,0,No,No,0,0,Yes,Yes,4.5,5,No,Yes,Yes,6,5,1,3,5,3,6,1,4,5,5,2,6,1,2,5,7,5,1,3,7,6,7,7,1,7,7,7,5,3,4,3,2,4,1,2,2,4,4,4,2,4,2,1,3,3,3,1,2,3,4,0,1,3,1,4,4,2,3,2,0,12,9,0,10,17,15,25,10,3,31,25,39,22,17.5
349,06/07/2013 11:21,64041,Female,43,01/05/1970,Irish,Ireland,Yes,0,Third Level (Honours degree),,Left handed,Yes,No,No,Yes,1990,17,15000,No,0,No,0,0,0,No,No,0,0,No,No,0,0,No,Yes,No,7,6,1,1,1,2,6,1,1,1,6,1,7,1,1,1,1,3,7,1,7,7,1,7,6,3,3,6,4,1,3,3,2,3,1,4,4,4,4,2,2,2,2,3,1,4,2,4,2,3,0,0,1,2,1,2,3,2,4,2,0,12,8,0,0,18,14,10,5,3,8,39,36,43,43
350,06/07/2013 11:33,64039,Male,62,12/28/50,British,England,Yes,0,Secondary (Leaving Cert),Ma0ger Wholesaler,Left handed,No,No,Yes,No,0,0,0,No,0,No,0,0,0,No,No,0,0,Yes,Yes,36,10,No,Yes,No,6,2,1,4,5,2,6,2,5,3,1,3,2,3,5,5,2,5,2,2,6,6,5,2,4,5,5,5,3,5,3,2,2,2,3,3,2,3,2,1,1,3,2,3,3,2,3,3,2,4,3,0,1,2,2,3,2,2,2,3,0,12,8,0,9,16,11,23,12,6,24,13,34,62,26
351,06/07/2013 11:46,64032,Female,23,11/15/89,Irish,Ireland,Yes,0,Secondary (Leaving Cert),Sales Assistant,Right handed,No,Yes,No,No,0,0,0,No,0,No,0,0,0,Yes,Yes,0,84,Yes,Yes,5,14,No,Yes,No,7,5,1,3,7,1,6,1,3,1,3,1,5,1,3,1,5,5,1,6,7,7,7,1,1,7,7,6,1,7,3,3,4,3,4,4,2,2,4,3,4,4,2,4,4,4,3,2,3,4,1,0,1,3,0,3,3,4,2,3,0,20,10,0,9,17,14,14,9,3,35,16,40,23,18
352,06/07/2013 11:58,64027,Male,39,2/21/74,Irish,Ireland,Yes,0,Fourth Level,Researcher,Right handed,Yes,No,No,Yes,1995,17,5000,No,0,No,0,0,0,No,No,0,0,Yes,Yes,22,17.5,No,No,No,7,7,7,6,7,7,6,2,4,4,4,6,7,4,3,2,1,6,7,2,7,6,7,6,4,3,6,7,4,1,3,1,2,2,2,2,3,3,2,4,0,3,2,2,3,2,2,1,2,3,2,0,4,2,1,0,3,2,2,2,0,0,0,0,10,16,13,22,18,13,23,35,39,39,17
353,06/07/2013 12:08,49309,Male,33,5/19/80,French,Belgium,No,French,Fourth Level,Project Ma0ger,Right handed,Yes,No,No,Yes,2000,18,1000,No,0,No,0,0,0,No,No,0,0,Yes,Yes,15,6,No,No,No,7,6,5,2,4,5,3,5,6,6,7,2,6,1,2,3,4,4,5,5,7,3,7,3,6,6,6,7,5,4,2,2,4,3,4,4,2,4,4,1,1,3,1,1,4,4,3,1,2,3,4,0,1,2,4,4,3,3,3,1,0,15,10,0,10,13,12,29,8,11,28,33,33,33,18
354,06/07/2013 12:32,63934,Male,23,3/27/90,Irish,Ireland,Yes,0,Third Level (Honours degree),student,Right handed,No,Yes,Yes,No,0,19,0,0,0,0,0,0,0,No,No,0,0,Yes,Yes,5,very little,No,Yes,No,5,5,1,3,1,4,1,1,2,2,1,4,1,3,3,1,2,5,1,6,6,7,7,6,4,4,6,5,3,3,3,2,2,3,2,4,2,3,2,4,1,4,3,2,4,1,3,1,3,4,2,0,2,2,1,3,2,1,4,2,0,10,9,0,7,17,15,15,12,5,23,18,30,23,18
355,06/07/2013 12:39,64034,Female,19,1/17/94,Irish,Ireland,Yes,0,Secondary (Leaving Cert),Student / Bartender,Right handed,No,Yes,No,No,0,19,0,No,0,No,0,0,0,No,No,0,0,Yes,Yes,1.5,0,No,No,No,6,6,1,2,1,1,5,1,1,1,3,1,3,1,2,3,3,5,5,1,6,5,5,3,2,5,5,4,4,2,4,2,2,1,1,2,4,3,3,3,2,4,3,2,1,2,2,1,2,3,4,0,3,1,1,3,2,1,2,2,0,10,6,0,11,20,9,12,8,3,17,22,31,19,17.5
356,06/07/2013 16:04,64031,Female,33,10/02/1979,Irish,Ireland,Yes,0,Third Level (Honours degree),OT,Right handed,Yes,No,No,Yes,2006,27,0,No,0,No,0,0,0,No,No,0,0,Yes,No,13,2.5,No,No,Yes,3,3,1,1,5,2,2,1,1,1,1,1,5,2,2,3,1,1,7,1,0,5,6,7,4,3,4,1,1,5,3,2,2,3,3,3,4,2,2,4,4,2,4,3,2,1,2,3,2,2,1,0,3,1,1,3,2,4,2,2,0,15,7,0,7,18,13,13,3,4,18,27,0,33,20
357,06/09/2013 11:48,64020,Male,22,8/28/90,Irish,Ireland,Yes,0,Third Level (Honours degree),student,Right handed,Yes,No,No,Yes,2010,18,0,No,0,No,0,0,0,No,No,0,0,Yes,Yes,7,6,No,Yes,No,6,7,2,6,2,5,5,2,4,1,6,5,4,2,3,1,6,6,3,3,3,5,5,7,6,5,6,5,5,4,3,2,3,2,1,3,3,2,3,2,2,3,4,3,3,1,4,2,3,3,2,0,3,4,2,3,2,2,3,4,0,11,10,0,10,18,12,20,17,6,24,33,30,22,15
358,06/09/2013 11:57,64021,Male,22,10/22/90,Irish,Ireland,Yes,0,Third Level (Cert/Diploma/General degree),Nurse,Right handed,Yes,No,No,Yes,2011,17,500,No,0,No,0,0,0,No,No,0,0,Yes,No,4,0,Yes,Yes,Yes,6,5,1,5,1,2,4,1,4,5,4,2,1,4,6,5,3,2,5,1,3,5,6,5,2,5,4,4,1,5,3,2,3,2,3,1,3,3,2,3,2,3,3,1,2,1,2,3,2,3,1,0,2,1,1,3,3,1,2,3,0,11,5,0,7,16,13,22,9,6,22,22,26,22,18
359,06/09/2013 12:05,64022,Male,22,4/26/91,Irish,Ireland,Yes,0,Third Level (Honours degree),student,Right handed,Yes,No,No,Yes,2010,17,10000,No,0,No,0,0,0,No,No,0,0,Yes,Yes,5,12,No,No,No,5,6,1,6,5,5,5,1,2,2,6,5,5,2,6,3,2,2,6,3,5,6,6,6,5,6,6,6,2,3,3,3,2,4,3,3,3,3,2,2,3,2,4,2,1,2,3,2,2,3,2,0,2,3,2,4,2,2,3,3,0,13,10,0,9,17,10,17,13,4,28,34,33,22,17
360,06/09/2013 12:20,64026,Male,21,08/07/1991,Irish,Ireland,Yes,0,Secondary (Leaving Cert),,Right handed,No,No,No,No,0,0,0,No,0,No,0,0,0,No,No,0,0,Yes,Yes,4,12,No,Yes,No,6,7,5,3,5,4,3,7,1,5,5,4,6,6,5,1,5,5,7,2,7,6,6,7,7,7,7,7,1,1,2,2,3,3,2,4,2,2,2,2,3,2,1,2,4,3,4,2,3,3,2,0,1,3,2,3,2,3,4,2,0,13,10,0,8,11,14,13,12,18,30,39,36,21,17
361,06/09/2013 12:27,63933,Male,22,6/22/90,Irish,Ireland,Yes,0,Third Level (Honours degree),None,Left handed,No,No,No,No,0,0,0,No,0,No,0,0,0,No,No,0,0,No,No,0,0,No,Yes,No,5,4,1,1,1,4,4,0,6,2,3,4,5,2,7,4,2,1,2,3,5,2,1,2,1,4,2,1,7,1,2,2,3,2,4,3,2,2,4,2,3,2,1,2,3,2,1,1,2,3,4,0,0,3,2,3,0,4,4,4,0,18,9,0,0,11,0,24,6,0,18,17,19,22,22
362,06/09/2013 12:31,64025,Male,22,10/22/90,Irish,Ireland,Yes,0,Secondary (Leaving Cert),student,Right handed,Yes,No,No,Yes,2009,18,160,No,0,No,0,0,0,No,No,0,0,Yes,Yes,5.5,0,No,No,Yes,7,7,1,2,7,1,6,1,1,2,4,5,7,1,1,2,2,5,7,5,5,6,3,7,7,5,6,6,2,1,4,2,3,4,1,4,2,4,4,2,2,3,3,1,3,3,3,3,3,3,3,0,2,3,3,4,3,2,4,3,0,12,11,0,11,17,15,9,12,3,23,39,36,22,16.5
363,06/09/2013 12:40,63935,Female,24,07/07/1988,American,Ireland,Yes,0,Third Level (Honours degree),None,Left handed,Yes,No,No,Yes,2008,19,500,No,0,No,0,0,0,No,No,0,0,Yes,No,0,0,Yes,No,No,7,7,2,5,1,4,6,3,1,1,1,1,4,2,3,2,2,4,2,1,6,5,2,1,2,2,7,7,3,2,3,2,2,2,2,2,3,4,3,3,4,3,2,3,4,2,2,1,2,3,3,0,3,2,2,2,2,4,4,4,0,16,6,0,12,18,14,13,10,7,11,17,38,24,24
364,06/09/2013 13:06,64024,Female,21,07/03/1991,Irish,Ireland,Yes,0,Secondary (Leaving Cert),student,Right handed,Yes,No,No,Yes,2010,17,1000,No,0,No,0,0,0,Yes,No,0,0,Yes,Yes,5,7,No,Yes,Yes,6,6,1,1,7,5,6,1,1,4,3,1,7,1,1,3,1,1,7,1,5,6,2,7,7,5,7,7,4,1,2,2,2,4,4,4,2,3,4,2,2,3,4,2,4,3,4,1,4,4,1,0,1,4,2,1,2,1,4,1,0,15,9,0,6,16,13,18,3,3,17,37,37,21,16
365,06/09/2013 13:06,63931,Male,24,11/06/1988,American,USA,Yes,0,Third Level (Cert/Diploma/General degree),Teacher,Right handed,Yes,No,No,Yes,0,16,12000,No,0,No,0,0,0,Yes,No,0,0,Yes,Yes,6,7,No,Yes,Yes,5,5,1,3,5,5,4,1,3,2,3,2,3,3,3,3,1,2,3,2,5,5,7,7,5,6,7,3,3,5,2,2,1,3,2,2,1,3,2,2,2,3,2,2,2,2,2,2,3,3,2,0,3,2,1,2,3,2,3,2,0,11,6,0,9,13,12,21,7,5,24,26,29,24,18
366,06/09/2013 13:21,63932,Female,26,01/01/1987,American,USA,Yes,0,Fourth Level,Student,Left handed,Yes,No,No,Yes,2003,16,11000,No,0,Yes,1,Car totalled,0,Yes,No,0,0,Yes,Yes,5.5,3,No,No,No,6,7,1,5,3,3,4,1,1,1,1,3,5,1,5,2,1,3,1,1,7,5,3,1,3,3,7,7,5,2,2,3,2,4,2,3,2,3,2,4,2,4,1,2,2,2,1,1,3,3,2,0,1,1,1,4,2,1,4,4,0,10,8,0,9,14,13,14,11,3,16,18,36,26,20.5
367,06/09/2013 13:30,64023,Female,21,12/15/91,Irish,Ireland,Yes,0,Secondary (Leaving Cert),Student,Right handed,No,No,Yes,No,0,0,0,No,0,No,0,0,0,No,No,0,0,No,No,0,0,No,No,No,6,6,1,4,1,1,5,1,1,1,1,1,2,1,1,3,2,1,2,2,4,5,1,2,3,2,2,1,1,1,3,2,2,3,1,2,4,4,4,4,3,4,4,2,4,2,2,2,2,4,3,0,4,2,1,4,1,3,4,4,0,15,8,0,13,21,15,8,6,3,9,16,23,21,21
368,06/09/2013 15:00,64002,Male,31,10/01/1981,German,Ireland,No,German,Third Level (Honours degree),Tax advisior,Right handed,Yes,No,No,Yes,2001,18,15000,No,0,No,0,0,0,Yes,Yes,17,25,Yes,Yes,17,0,No,Yes,Yes,7,7,7,5,5,5,7,7,7,1,2,3,6,7,2,1,2,7,2,2,5,6,7,3,6,6,7,7,1,6,3,2,3,3,2,3,1,4,2,3,2,3,2,2,3,1,2,2,3,4,4,0,2,2,2,3,4,1,1,4,0,11,8,0,11,15,13,21,15,21,24,26,39,14,14
369,06/09/2013 15:07,64004,Female,37,01/02/1976,German,Germany,No,German,Third Level (Honours degree),Fi0nce Ma0ger,Right handed,Yes,No,No,Yes,1994,18,5000,No,0,No,0,0,0,Yes,No,20,0,Yes,No,20,0,No,No,No,7,6,1,7,1,7,7,1,5,1,1,1,7,1,1,1,3,2,5,2,3,5,3,1,5,2,3,7,1,1,4,1,3,3,1,3,3,4,3,4,2,3,4,2,3,2,2,2,1,2,2,0,1,2,1,2,1,2,1,4,0,10,7,0,9,20,11,16,10,3,12,25,32,17,17
370,06/09/2013 15:16,64016,Male,26,7/28/86,Irish,Ireland,Yes,0,Third Level (Honours degree),Accountant,Right handed,Yes,No,No,Yes,2004,18,5000,No,0,Yes,1,Minor,0,No,No,0,0,Yes,Yes,5,3,No,No,No,7,2,1,5,3,3,7,1,1,3,3,3,2,1,5,3,1,1,7,1,3,5,1,5,2,3,6,4,4,3,3,2,3,2,2,3,4,3,3,4,2,3,3,2,3,2,2,2,2,3,2,0,4,3,1,3,2,2,3,3,0,12,9,0,11,18,14,17,9,3,14,21,32,26,21
371,06/09/2013 15:24,13717,Female,26,03/03/1987,Irish,Ireland,Yes,0,Fourth Level,Research Scientist,Right handed,No,No,No,No,0,0,0,No,0,No,0,0,0,No,No,0,0,Yes,Yes,8.5,3.5,No,Yes,No,6,1,1,3,3,2,5,1,1,2,5,3,3,1,2,2,1,3,5,2,7,5,1,5,3,3,5,5,1,2,4,2,4,4,2,1,3,2,3,2,1,3,2,2,4,3,0,1,3,3,2,0,2,2,2,3,3,1,3,2,0,10,6,0,9,16,13,10,9,3,12,22,33,26,17.5
372,06/09/2013 15:41,64029,Male,31,5/25/82,Irish,Ireland,Yes,0,0,Civil Servant,Left handed,Yes,No,No,Yes,0,18,15000,No,0,No,0,0,0,Yes,No,0,0,Yes,Yes,13,16,No,Yes,Yes,6,7,6,7,7,5,4,3,3,3,6,7,6,4,5,3,1,3,5,3,4,5,2,6,6,7,5,6,5,5,3,2,2,3,2,3,4,4,1,4,1,3,3,3,4,2,2,3,2,3,2,0,3,3,1,2,2,3,3,3,0,10,8,0,10,20,16,24,17,13,25,36,30,31,18
373,06/09/2013 15:50,64019,Male,37,5/23/76,Irish,Ireland,Yes,0,Secondary (Leaving Cert),Social Care Worker,Right handed,No,No,No,No,0,18,0,No,0,No,0,0,0,Yes,Yes,22,105,Yes,Yes,22,4,No,Yes,Yes,6,7,1,1,2,5,7,1,4,1,5,1,4,1,6,1,1,5,7,7,6,7,6,3,5,7,7,7,5,2,2,2,3,3,2,3,1,3,3,1,1,3,3,3,4,4,2,2,2,3,2,0,1,2,4,4,2,1,4,3,0,10,9,0,10,15,13,18,7,3,29,31,40,15,15
374,06/09/2013 16:56,64300,Male,31,4/26/82,Hong Kong/British,Hong Kong,No,Cantonese,Third Level (Cert/Diploma/General degree),Mechanics,Right handed,Yes,No,No,Yes,2007,25,20000,Yes,speeding,Yes,1,0,1,No,No,0,0,No,No,0,0,No,No,No,5,1,5,5,1,1,4,5,2,2,2,6,2,1,6,2,1,6,1,1,7,4,3,1,1,5,5,7,4,7,4,1,2,3,1,3,3,4,3,4,3,4,3,4,4,2,3,1,2,3,4,0,4,2,1,3,2,1,2,3,0,11,8,0,13,22,13,18,17,11,17,8,32,31,31
375,06/11/2013 11:33,64302,Male,29,09/04/1983,Irish,Ireland,Yes,0,Secondary (Leaving Cert),Constuction,Right handed,Yes,No,Yes,No,0,19,10000,Yes,speeding,No,0,0,0,Yes,Yes,10,10,Yes,Yes,15,35,No,No,Yes,7,7,2,1,7,5,7,7,1,2,3,2,3,2,3,6,7,3,2,3,4,7,5,2,3,7,4,5,2,3,3,2,4,2,3,3,3,4,3,1,1,3,1,4,4,2,2,4,2,3,1,0,2,2,3,4,2,1,4,3,0,11,9,0,8,18,15,19,6,11,32,20,34,19,14
376,06/11/2013 11:57,64296,Female,25,8/31/87,Irish,Ireland,Yes,0,Third Level (Honours degree),Accountant,Right handed,Yes,No,No,Yes,2007,17,0,No,0,0,0,0,0,No,No,0,0,Yes,Yes,8.5,8,No,No,No,7,5,3,2,7,2,5,1,1,2,1,1,4,2,2,5,1,2,7,4,1,2,1,6,4,5,5,3,3,2,4,2,3,3,4,3,4,3,3,4,3,4,2,4,1,1,2,2,3,2,1,0,3,2,3,3,3,3,4,3,0,15,8,0,8,21,14,15,5,6,20,27,23,25,16.5
